semester,course_code,course_name,is_lab,times_needed
1,CC111,Programming Fundamentals,FALSE,2
1,CC111L,Programming Fundamentals Lab,TRUE,1
1,MA107,Calculus and Analytic Geometry,FALSE,2
1,CC120,Application of Information & Communication Technologies,FALSE,2
1,CC120L,Application of Information & Communication Technologies Lab,TRUE,1
1,NS125,Applied Physics,FALSE,2
1,NS125L,Applied Physics Lab,TRUE,1
1,EN106,Functional English,FALSE,2
1,POL106,Ideology and Constitution of Pakistan,FALSE,2
2,ISL104,Islamic Thought and Perspectives,FALSE,2
2,MA108,CS-Supporting 1 (Multivariable Calculus),FALSE,2
2,CC112,Object Oriented Programming,FALSE,2
2,CC112L,Object Oriented Programming Lab,TRUE,1
2,CC121,Digital Logic Design,FALSE,2
2,CC121L,Digital Logic Design Lab,TRUE,1
2,CC141,Discrete Structures,FALSE,2
3,CC213,Data Structures,FALSE,2
3,CC213L,Data Structures Lab,TRUE,1
3,MA210,CS Supporting 2 (Linear Algebra),FALSE,2
3,CC222,Computer Organization and Assembly Language,FALSE,2
3,CC222L,Computer Organization and Assembly Language Lab,TRUE,1
3,SS103,Civics and Community Engagement,FALSE,2
3,CC281,Software Engineering,FALSE,2
3,MA150,CS Supporting 3 (Probability and Statistics),FALSE,2
4,CC251,Computer Networks,FALSE,2
4,CC251L,Computer Networks Lab,TRUE,1
4,CC230,Database Systems,FALSE,2
4,CC230L,Database Systems Lab,TRUE,1
4,HU201,Professional Practices,FALSE,2
4,CS245,Computer Architecture,FALSE,2
5,CC323,Operating Systems,FALSE,2
5,CC323L,Operating Systems Lab,TRUE,1
5,CC342,Analysis of Algorithms,FALSE,2
5,CC371,Artificial Intelligence,FALSE,2
5,MG365,Innovation and Entrepreneurship,FALSE,2
5,CS341,Theory of Automata,FALSE,2
6,CC361,Information Security,FALSE,2
6,EN220,CS Supporting 4 (Technical & Business Writing),FALSE,2
6,CS324,Human Computer Interaction,FALSE,2
6,CS342,Compiler Construction,FALSE,2
7,CS431,Advance Database Management Systems,FALSE,2
7,CS431L,Advance Database Management Systems Lab,TRUE,1
7,CC425,Parallel and Distributed Computing,FALSE,2
7,CC491,Final Year Project I,FALSE,2
8,CC492,Final Year Project II,FALSE,2
8,Univ Elective,University Elective 2,FALSE,2
